t	x	u
5.900000	1.200000	7.209095
6.000000	0.000000	0.002479
6.000000	0.100000	0.612739
6.000000	0.200000	1.223028
6.000000	0.300000	1.833346
6.000000	0.400000	2.443698
6.000000	0.500000	3.054087
6.000000	0.600000	3.664517
6.000000	0.700000	4.274992
6.000000	0.800000	4.885517
6.000000	0.900000	5.496097
6.000000	1.000000	6.106738
6.000000	1.100000	6.717447
6.000000	1.200000	7.328230
6.100000	0.000000	0.002243
6.100000	0.100000	0.622479
6.100000	0.200000	1.242739
6.100000	0.300000	1.863028
6.100000	0.400000	2.483346
6.100000	0.500000	3.103698
6.100000	0.600000	3.724087
6.100000	0.700000	4.344517
6.100000	0.800000	4.964992
6.100000	0.900000	5.585517
6.100000	1.000000	6.206097
6.100000	1.100000	6.826738
6.100000	1.200000	7.447447
6.200000	0.000000	0.002029
6.200000	0.100000	0.632243
6.200000	0.200000	1.262479
6.200000	0.300000	1.892739
6.200000	0.400000	2.523028
6.200000	0.500000	3.153346
6.200000	0.600000	3.783698
6.200000	0.700000	4.414087
6.200000	0.800000	5.044517
6.200000	0.900000	5.674992
6.200000	1.000000	6.305517
6.200000	1.100000	6.936097
6.200000	1.200000	7.566738
6.300000	0.000000	0.001836
6.300000	0.100000	0.642029
6.300000	0.200000	1.282243
6.300000	0.300000	1.922479
6.300000	0.400000	2.562739
6.300000	0.500000	3.203028
6.300000	0.600000	3.843346
6.300000	0.700000	4.483698
6.300000	0.800000	5.124087
6.300000	0.900000	5.764517
6.300000	1.000000	6.404992
6.300000	1.100000	7.045517
6.300000	1.200000	7.686097
6.400000	0.000000	0.001662
6.400000	0.100000	0.651836
6.400000	0.200000	1.302029
6.400000	0.300000	1.952243
6.400000	0.400000	2.602479
6.400000	0.500000	3.252739
6.400000	0.600000	3.903028
6.400000	0.700000	4.553346
6.400000	0.800000	5.203698
6.400000	0.900000	5.854087
6.400000	1.000000	6.504517
6.400000	1.100000	7.154992
6.400000	1.200000	7.805517
6.500000	0.000000	0.001503
6.500000	0.100000	0.661662
6.500000	0.200000	1.321836
6.500000	0.300000	1.982029
6.500000	0.400000	2.642243
6.500000	0.500000	3.302479
6.500000	0.600000	3.962739
6.500000	0.700000	4.623028
6.500000	0.800000	5.283346
6.500000	0.900000	5.943698
6.500000	1.000000	6.604087
6.500000	1.100000	7.264517
6.500000	1.200000	7.924992
6.600000	0.000000	0.001360
6.600000	0.100000	0.671503
6.600000	0.200000	1.341662
6.600000	0.300000	2.011836
6.600000	0.400000	2.682029
6.600000	0.500000	3.352243
6.600000	0.600000	4.022479
6.600000	0.700000	4.692739
6.600000	0.800000	5.363028
6.600000	0.900000	6.033346
6.600000	1.000000	6.703698
6.600000	1.100000	7.374087
6.600000	1.200000	8.044517
6.700000	0.000000	0.001231
6.700000	0.100000	0.681360
6.700000	0.200000	1.361503
6.700000	0.300000	2.041662
6.700000	0.400000	2.721836
6.700000	0.500000	3.402029
6.700000	0.600000	4.082243
6.700000	0.700000	4.762479
6.700000	0.800000	5.442739
6.700000	0.900000	6.123028
6.700000	1.000000	6.803346
6.700000	1.100000	7.483698
6.700000	1.200000	8.164087
6.800000	0.000000	0.001114
6.800000	0.100000	0.691231
6.800000	0.200000	1.381360
6.800000	0.300000	2.071503
6.800000	0.400000	2.761662
6.800000	0.500000	3.451836
6.800000	0.600000	4.142029
6.800000	0.700000	4.832243
6.800000	0.800000	5.522479
6.800000	0.900000	6.212739
6.800000	1.000000	6.903028
6.800000	1.100000	7.593346
6.800000	1.200000	8.283698
6.900000	0.000000	0.001008
6.900000	0.100000	0.701114
6.900000	0.200000	1.401231
6.900000	0.300000	2.101360
6.900000	0.400000	2.801503
6.900000	0.500000	3.501662
6.900000	0.600000	4.201836
6.900000	0.700000	4.902029
6.900000	0.800000	5.602243
